ticker,vb_k,stoploss_pct,trailing_activate_pct,trailing_stop_pct,return_pct,win_rate,trades,mdd_pct,profit_factor,sharpe,score
삼성전자,0.3,3.0,2.0,1.0,46.09,67.1,79,16.73,1.61,0.95,48.35
KODEX200,0.3,3.0,2.0,1.5,97.77,81.2,85,8.47,2.63,2.08,65.03
KODEX코스닥150,0.3,3.0,2.0,1.5,8.2,67.7,65,15.36,1.13,0.28,44.83
삼성전자,0.3,3.0,2.0,1.5,36.67,66.2,77,17.12,1.49,0.82,46.57
KODEX200,0.3,3.0,2.5,0.5,116.13,79.8,89,8.51,2.65,2.23,67.26
KODEX코스닥150,0.3,3.0,2.5,0.5,13.94,63.9,61,17.26,1.21,0.41,43.97
삼성전자,0.3,3.0,2.5,0.5,63.51,68.5,73,14.57,1.82,1.2,53.63
KODEX200,0.3,3.0,2.5,1.0,126.74,82.4,85,8.5,3.01,2.47,69.88
KODEX코스닥150,0.3,3.0,2.5,1.0,5.73,62.7,59,19.21,1.09,0.22,41.15
삼성전자,0.3,3.0,2.5,1.0,52.28,66.7,72,16.03,1.69,1.05,50.48
KODEX200,0.3,3.0,2.5,1.5,124.81,82.1,84,8.5,2.98,2.45,69.61
KODEX코스닥150,0.3,3.0,2.5,1.5,4.54,62.7,59,19.18,1.07,0.19,40.98
삼성전자,0.3,3.0,2.5,1.5,47.78,67.1,70,16.24,1.66,1.02,49.88
KODEX200,0.3,3.0,3.0,0.5,121.47,78.0,82,8.93,2.71,2.28,68.14
KODEX코스닥150,0.3,3.0,3.0,0.5,18.13,62.5,56,15.95,1.28,0.5,45.84
삼성전자,0.3,3.0,3.0,0.5,68.77,69.0,71,14.84,1.92,1.29,54.57
KODEX200,0.3,3.0,3.0,1.0,128.34,80.8,78,8.93,3.02,2.47,70.2
KODEX코스닥150,0.3,3.0,3.0,1.0,12.11,61.1,54,15.62,1.19,0.37,45.04
삼성전자,0.3,3.0,3.0,1.0,60.52,67.1,70,16.2,1.79,1.15,51.95
